Data;1USDdolar amerykañski;1AUDdolar australijski;1CADdolar kanadyjski;1EUReuro;100HUFforint (Wêgry);1CHFfrank szwajcarski;1GBPfunt szterling;100JPYjen (Japonia);1CZKkorona czeska;1DKKkorona duñska;1NOKkorona norweska;1SEKkorona szwedzka;1XDRSDR (MFW);Nr tabeli;Pe³ny numer tabeli;
20120102;3,3969;3,4643;3,3319;4,4077;1,4051;3,6210;5,2774;4,4024;0,1726;0,5930;0,5677;0,4946;5,2335;1;001/C/NBP/2012;
20120103;3,4214;3,4951;3,3532;4,4253;1,4102;3,6413;5,3004;4,4487;0,1735;0,5953;0,5717;0,4962;5,2508;2;002/C/NBP/2012;
20120104;3,3903;3,5102;3,3560;4,4186;1,4001;3,6273;5,2876;4,4195;0,1720;0,5942;0,5721;0,4952;5,2428;3;003/C/NBP/2012;
20120105;3,4315;3,5480;3,3932;4,4461;1,3950;3,6498;5,3638;4,4713;0,1722;0,5979;0,5782;0,4997;5,2713;4;004/C/NBP/2012;
20120109;3,4909;3,5780;3,4234;4,4677;1,3913;3,6667;5,4059;4,5268;0,1728;0,6008;0,5814;0,5047;5,3126;5;005/C/NBP/2012;
20120110;3,4832;3,5592;3,3916;4,4370;1,4069;3,6553;5,3775;4,5305;0,1717;0,5968;0,5791;0,5023;5,3140;6;006/C/NBP/2012;
20120111;3,4525;3,5660;3,3912;4,4145;1,4213;3,6350;5,3444;4,4917;0,1717;0,5937;0,5771;0,5009;5,3031;7;007/C/NBP/2012;
20120112;3,4909;3,5877;3,4205;4,4258;1,4193;3,6533;5,3604;4,5339;0,1712;0,5952;0,5782;0,5023;5,2836;8;008/C/NBP/2012;
20120113;3,4104;3,5289;3,3530;4,3704;1,4184;3,6100;5,2296;4,4434;0,1709;0,5877;0,5688;0,4932;5,2411;9;009/C/NBP/2012;
20120116;3,4554;3,5549;3,3709;4,3812;1,4092;3,6214;5,2859;4,4910;0,1712;0,5891;0,5693;0,4927;5,2544;10;010/C/NBP/2012;
20120117;3,4353;3,5452;3,3701;4,3536;1,3991;3,6034;5,2634;4,4784;0,1699;0,5856;0,5674;0,4907;5,2107;11;011/C/NBP/2012;
20120118;3,4004;3,5323;3,3506;4,3244;1,3845;3,5754;5,2161;4,4246;0,1684;0,5816;0,5635;0,4893;5,1757;12;012/C/NBP/2012;
20120119;3,3531;3,4817;3,3020;4,3050;1,4069;3,5582;5,1733;4,3655;0,1686;0,5790;0,5592;0,4888;5,1444;13;013/C/NBP/2012;
20120120;3,3237;3,4592;3,2957;4,2847;1,4109;3,5480;5,1357;4,3178;0,1690;0,5762;0,5602;0,4898;5,1117;14;014/C/NBP/2012;
20120123;3,3047;3,4578;3,2594;4,2706;1,4070;3,5375;5,1289;4,2827;0,1677;0,5744;0,5571;0,4862;5,0762;15;015/C/NBP/2012;
20120124;3,2494;3,4340;3,2328;4,2357;1,4128;3,5086;5,0691;4,2186;0,1675;0,5696;0,5527;0,4824;5,0373;16;016/C/NBP/2012;
20120125;3,2738;3,4178;3,2319;4,2445;1,4115;3,5176;5,0979;4,2069;0,1674;0,5710;0,5551;0,4821;5,0219;17;017/C/NBP/2012;
20120126;3,2785;3,4252;3,2342;4,2460;1,4272;3,5152;5,1077;4,1918;0,1674;0,5711;0,5525;0,4803;5,0260;18;018/C/NBP/2012;
20120127;3,1805;3,3940;3,1816;4,1874;1,4224;3,4686;4,9886;4,1049;0,1665;0,5632;0,5469;0,4717;4,9696;19;019/C/NBP/2012;
20120130;3,1923;3,3948;3,1895;4,1920;1,4188;3,4742;5,0146;4,1552;0,1665;0,5639;0,5475;0,4714;4,9307;20;020/C/NBP/2012;
20120131;3,2153;3,3940;3,1967;4,2142;1,4274;3,4988;5,0382;4,2081;0,1668;0,5669;0,5490;0,4738;4,9601;21;021/C/NBP/2012;
20120201;3,1771;3,3812;3,1785;4,1738;1,4206;3,4642;5,0128;4,1699;0,1658;0,5614;0,5442;0,4692;4,9265;22;022/C/NBP/2012;
20120202;3,1531;3,3752;3,1589;4,1521;1,4243;3,4454;4,9941;4,1428;0,1649;0,5586;0,5425;0,4673;4,8878;23;023/C/NBP/2012;
20120203;3,1561;3,3842;3,1586;4,1486;1,4222;3,4426;4,9926;4,1455;0,1652;0,5581;0,5416;0,4679;4,8791;24;024/C/NBP/2012;
20120206;3,1512;3,3833;3,1587;4,1287;1,4170;3,4229;4,9758;4,1136;0,1653;0,5554;0,5408;0,4687;4,8882;25;025/C/NBP/2012;
20120207;3,1604;3,3886;3,1703;4,1302;1,4126;3,4235;4,9857;4,1250;0,1654;0,5556;0,5423;0,4691;4,8676;26;026/C/NBP/2012;
20120208;3,1294;3,3791;3,1401;4,1286;1,4217;3,4130;4,9528;4,0762;0,1655;0,5554;0,5406;0,4677;4,8917;27;027/C/NBP/2012;
20120209;3,1168;3,3727;3,1359;4,1344;1,4270;3,4152;4,9450;4,0524;0,1671;0,5563;0,5422;0,4689;4,8809;28;028/C/NBP/2012;
20120210;3,1177;3,3730;3,1391;4,1512;1,4281;3,4291;4,9459;4,0361;0,1658;0,5586;0,5426;0,4703;4,8641;29;029/C/NBP/2012;
20120213;3,1611;3,3709;3,1549;4,1657;1,4213;3,4437;4,9802;4,0699;0,1655;0,5604;0,5475;0,4731;4,8691;30;030/C/NBP/2012;
20120214;3,1359;3,3657;3,1363;4,1482;1,4265;3,4303;4,9516;4,0413;0,1654;0,5581;0,5492;0,4721;4,8795;31;031/C/NBP/2012;
20120215;3,1446;3,3646;3,1444;4,1397;1,4225;3,4279;4,9379;4,0233;0,1650;0,5569;0,5497;0,4712;4,8466;32;032/C/NBP/2012;
20120216;3,1668;3,4019;3,1786;4,1461;1,4305;3,4356;4,9696;4,0495;0,1646;0,5579;0,5501;0,4720;4,8735;33;033/C/NBP/2012;
20120217;3,2044;3,4344;3,2055;4,1786;1,4267;3,4616;5,0344;4,0661;0,1659;0,5621;0,5538;0,4742;4,9289;34;034/C/NBP/2012;
20120220;3,1440;3,3738;3,1570;4,1417;1,4288;3,4264;4,9714;3,9612;0,1658;0,5572;0,5524;0,4686;4,8610;35;035/C/NBP/2012;
20120221;3,1193;3,3569;3,1389;4,1313;1,4384;3,4217;4,9438;3,9257;0,1657;0,5557;0,5508;0,4684;4,8487;36;036/C/NBP/2012;
20120222;3,1353;3,3439;3,1451;4,1456;1,4380;3,4322;4,9482;3,9334;0,1665;0,5576;0,5511;0,4704;4,8471;37;037/C/NBP/2012;
20120223;3,1316;3,3282;3,1299;4,1431;1,4361;3,4331;4,9056;3,9027;0,1645;0,5572;0,5526;0,4695;4,8358;38;038/C/NBP/2012;
20120224;3,1137;3,3234;3,1160;4,1362;1,4275;3,4328;4,8843;3,8790;0,1647;0,5563;0,5532;0,4682;4,8131;39;039/C/NBP/2012;
20120227;3,0650;3,2846;3,0683;4,1233;1,4254;3,4214;4,8604;3,7960;0,1647;0,5545;0,5502;0,4672;4,7746;40;040/C/NBP/2012;
20120228;3,0841;3,2959;3,0763;4,1291;1,4136;3,4282;4,8885;3,8396;0,1647;0,5553;0,5501;0,4670;4,7892;41;041/C/NBP/2012;
20120229;3,0519;3,2844;3,0607;4,0998;1,4117;3,4019;4,8344;3,7876;0,1644;0,5513;0,5474;0,4637;4,7378;42;042/C/NBP/2012;
20120301;3,0217;3,2759;3,0582;4,0655;1,4151;3,3730;4,8264;3,7564;0,1638;0,5468;0,5458;0,4619;4,7059;43;043/C/NBP/2012;
20120302;3,0564;3,2936;3,1013;4,0651;1,4120;3,3735;4,8693;3,7574;0,1638;0,5468;0,5471;0,4613;4,7337;44;044/C/NBP/2012;
20120305;3,0848;3,3161;3,1224;4,0716;1,4070;3,3748;4,8878;3,7821;0,1647;0,5477;0,5487;0,4610;4,7587;45;045/C/NBP/2012;
20120306;3,0906;3,3026;3,1097;4,0852;1,4004;3,3872;4,9028;3,7977;0,1644;0,5495;0,5508;0,4617;4,7660;46;046/C/NBP/2012;
20120307;3,1425;3,3185;3,1384;4,1238;1,4006;3,4207;4,9518;3,8835;0,1657;0,5547;0,5522;0,4629;4,8280;47;047/C/NBP/2012;
20120308;3,1481;3,3205;3,1450;4,1288;1,3874;3,4257;4,9473;3,8905;0,1660;0,5554;0,5544;0,4622;4,8466;48;048/C/NBP/2012;
20120309;3,0742;3,2608;3,0949;4,0706;1,3857;3,3774;4,8549;3,7720;0,1640;0,5475;0,5487;0,4578;4,7456;49;049/C/NBP/2012;
20120312;3,0964;3,2764;3,1272;4,0610;1,3898;3,3692;4,8626;3,7624;0,1643;0,5462;0,5433;0,4562;4,7477;50;050/C/NBP/2012;
20120313;3,1064;3,2581;3,1272;4,0773;1,3869;3,3818;4,8551;3,7777;0,1658;0,5484;0,5448;0,4558;4,7728;51;051/C/NBP/2012;
20120314;3,1273;3,2899;3,1559;4,0917;1,3981;3,3937;4,9060;3,7795;0,1667;0,5503;0,5487;0,4605;4,8086;52;052/C/NBP/2012;
20120315;3,1477;3,2919;3,1771;4,1080;1,4043;3,3909;4,9334;3,7635;0,1669;0,5525;0,5427;0,4614;4,8176;53;053/C/NBP/2012;
20120316;3,1262;3,2854;3,1469;4,0859;1,4045;3,3848;4,8980;3,7504;0,1666;0,5495;0,5405;0,4588;4,7920;54;054/C/NBP/2012;
20120319;3,1021;3,2828;3,1287;4,0875;1,4062;3,3875;4,9161;3,7212;0,1665;0,5497;0,5410;0,4605;4,7744;55;055/C/NBP/2012;
20120320;3,0764;3,2582;3,1058;4,0625;1,4081;3,3673;4,8865;3,6910;0,1660;0,5464;0,5379;0,4576;4,7520;56;056/C/NBP/2012;
20120321;3,0968;3,2498;3,1192;4,0996;1,4139;3,3992;4,9106;3,7114;0,1677;0,5513;0,5385;0,4597;4,7767;57;057/C/NBP/2012;
