data;1USD;1AUD;1CAD;1EUR;100HUF;1CHF;1GBP;100JPY;1CZK;1DKK;1NOK;1SEK;1XDR;nr tabeli;pe³ny numer tabeli;
;dolar amerykañski;dolar australijski;dolar kanadyjski;euro;forint (Wêgry);frank szwajcarski;funt szterling;jen (Japonia);korona czeska;korona duñska;korona norweska;korona szwedzka;SDR (MFW);
20130102;3,0686;3,1861;3,0860;4,0473;1,3837;3,3529;4,9618;3,5645;0,1614;0,5425;0,5496;0,4709;4,7185;1;001/C/NBP/2013;
20130103;3,0393;3,1964;3,0871;4,0288;1,3846;3,3313;4,9570;3,4847;0,1600;0,5400;0,5508;0,4704;4,6789;2;002/C/NBP/2013;
20130104;3,0878;3,2482;3,1336;4,0454;1,3923;3,3441;4,9897;3,5509;0,1602;0,5423;0,5545;0,4733;4,7352;3;003/C/NBP/2013;
20130107;3,1158;3,2585;3,1616;4,0689;1,4007;3,3652;5,0027;3,5479;0,1606;0,5455;0,5566;0,4760;4,7684;4;004/C/NBP/2013;
20130108;3,1272;3,2787;3,1676;4,0831;1,4025;3,3778;5,0243;3,5621;0,1599;0,5474;0,5576;0,4785;4,7825;5;005/C/NBP/2013;
20130109;3,1177;3,2706;3,1575;4,0802;1,3963;3,3755;5,0060;3,5698;0,1593;0,5469;0,5569;0,4762;4,7770;6;006/C/NBP/2013;
20130110;3,1161;3,2790;3,1599;4,0661;1,3998;3,3630;4,9891;3,5501;0,1592;0,5451;0,5563;0,4739;4,7597;7;007/C/NBP/2013;
20130111;3,0730;3,2505;3,1148;4,0531;1,3852;3,3474;4,9451;3,4868;0,1581;0,5432;0,5551;0,4731;4,7286;8;008/C/NBP/2013;
20130114;3,0505;3,2163;3,1040;4,0694;1,3717;3,3397;4,9151;3,4152;0,1587;0,5454;0,5519;0,4708;4,7080;9;009/C/NBP/2013;
20130115;3,0553;3,2255;3,0981;4,0798;1,3757;3,3280;4,9054;3,4265;0,1593;0,5467;0,5542;0,4732;4,7069;10;010/C/NBP/2013;
20130116;3,0579;3,2215;3,1029;4,0768;1,3830;3,2909;4,9056;3,4419;0,1594;0,5463;0,5502;0,4716;4,7098;11;011/C/NBP/2013;
20130117;3,0781;3,2462;3,1209;4,0857;1,3833;3,3059;4,9187;3,4827;0,1598;0,5476;0,5516;0,4731;4,7201;12;012/C/NBP/2013;
20130118;3,0565;3,2206;3,1020;4,0785;1,3919;3,2704;4,8798;3,4186;0,1598;0,5465;0,5493;0,4703;4,7252;13;013/C/NBP/2013;
20130121;3,0901;3,2417;3,1116;4,1164;1,4059;3,3190;4,9157;3,4351;0,1607;0,5516;0,5517;0,4739;4,7470;14;014/C/NBP/2013;
20130122;3,1027;3,2602;3,1254;4,1298;1,4095;3,3263;4,9223;3,4600;0,1613;0,5534;0,5540;0,4751;4,7625;15;015/C/NBP/2013;
20130123;3,1046;3,2788;3,1240;4,1337;1,4051;3,3380;4,9220;3,4938;0,1613;0,5539;0,5558;0,4768;4,7711;16;016/C/NBP/2013;
20130124;3,0952;3,2642;3,1169;4,1270;1,4009;3,3326;4,9140;3,4935;0,1613;0,5530;0,5571;0,4748;4,7587;17;017/C/NBP/2013;
20130125;3,1077;3,2523;3,1028;4,1472;1,4061;3,3393;4,9004;3,4576;0,1622;0,5558;0,5593;0,4767;4,7668;18;018/C/NBP/2013;
20130128;3,0653;3,2003;3,0404;4,1301;1,3881;3,3133;4,8486;3,3700;0,1615;0,5535;0,5553;0,4757;4,7104;19;019/C/NBP/2013;
20130129;3,0908;3,2114;3,0619;4,1621;1,3934;3,3313;4,8582;3,4072;0,1619;0,5579;0,5598;0,4814;4,7555;20;020/C/NBP/2013;
20130130;3,0807;3,2227;3,0652;4,1530;1,4037;3,3423;4,8540;3,3992;0,1622;0,5568;0,5593;0,4819;4,7504;21;021/C/NBP/2013;
20130131;3,0675;3,1938;3,0530;4,1569;1,4045;3,3520;4,8372;3,3644;0,1620;0,5572;0,5593;0,4831;4,7296;22;022/C/NBP/2013;
20130201;3,0655;3,1931;3,0632;4,1614;1,4244;3,3624;4,8453;3,3609;0,1621;0,5578;0,5599;0,4824;4,7336;23;023/C/NBP/2013;
