Data;1USDdolar amerykañski;1AUDdolar australijski;1CADdolar kanadyjski;1EUReuro;100HUFforint (Wêgry);1CHFfrank szwajcarski;1GBPfunt szterling;100JPYjen (Japonia);1CZKkorona czeska;1DKKkorona duñska;1NOKkorona norweska;1SEKkorona szwedzka;1XDRSDR (MFW);Nr tabeli;Pe³ny numer tabeli;
20120102;3,4655;3,5343;3,3993;4,4967;1,4335;3,6942;5,3840;4,4914;0,1760;0,6050;0,5791;0,5046;5,3393;1;001/C/NBP/2012;
20120103;3,4906;3,5657;3,4210;4,5147;1,4386;3,7149;5,4074;4,5385;0,1771;0,6073;0,5833;0,5062;5,3568;2;002/C/NBP/2012;
20120104;3,4587;3,5812;3,4238;4,5078;1,4283;3,7005;5,3944;4,5087;0,1754;0,6062;0,5837;0,5052;5,3488;3;003/C/NBP/2012;
20120105;3,5009;3,6196;3,4618;4,5359;1,4232;3,7236;5,4722;4,5617;0,1756;0,6099;0,5898;0,5097;5,3777;4;004/C/NBP/2012;
20120109;3,5615;3,6502;3,4926;4,5579;1,4195;3,7407;5,5151;4,6182;0,1762;0,6130;0,5932;0,5149;5,4200;5;005/C/NBP/2012;
20120110;3,5536;3,6312;3,4602;4,5266;1,4353;3,7291;5,4861;4,6221;0,1751;0,6088;0,5907;0,5125;5,4214;6;006/C/NBP/2012;
20120111;3,5223;3,6380;3,4598;4,5037;1,4501;3,7084;5,4524;4,5825;0,1751;0,6057;0,5887;0,5111;5,4103;7;007/C/NBP/2012;
20120112;3,5615;3,6601;3,4897;4,5152;1,4479;3,7271;5,4686;4,6255;0,1746;0,6072;0,5898;0,5125;5,3904;8;008/C/NBP/2012;
20120113;3,4792;3,6001;3,4208;4,4586;1,4470;3,6830;5,3352;4,5332;0,1743;0,5995;0,5802;0,5032;5,3469;9;009/C/NBP/2012;
20120116;3,5252;3,6267;3,4389;4,4698;1,4376;3,6946;5,3927;4,5818;0,1746;0,6011;0,5809;0,5027;5,3606;10;010/C/NBP/2012;
20120117;3,5047;3,6168;3,4381;4,4416;1,4273;3,6762;5,3698;4,5688;0,1733;0,5974;0,5788;0,5007;5,3159;11;011/C/NBP/2012;
20120118;3,4690;3,6037;3,4182;4,4118;1,4125;3,6476;5,3215;4,5140;0,1718;0,5934;0,5749;0,4991;5,2803;12;012/C/NBP/2012;
20120119;3,4209;3,5521;3,3688;4,3920;1,4353;3,6300;5,2779;4,4537;0,1720;0,5906;0,5704;0,4986;5,2484;13;013/C/NBP/2012;
20120120;3,3909;3,5290;3,3623;4,3713;1,4395;3,6196;5,2395;4,4050;0,1724;0,5878;0,5716;0,4996;5,2149;14;014/C/NBP/2012;
