data;1USD;1AUD;1CAD;1EUR;100HUF;1CHF;1GBP;100JPY;1CZK;1DKK;1NOK;1SEK;1XDR;nr tabeli;pe³ny numer tabeli;
;dolar amerykañski;dolar australijski;dolar kanadyjski;euro;forint (Wêgry);frank szwajcarski;funt szterling;jen (Japonia);korona czeska;korona duñska;korona norweska;korona szwedzka;SDR (MFW);
20140102;3,0421;2,7133;2,8580;4,1887;1,4109;3,4154;5,0326;2,8976;0,1528;0,5616;0,5003;0,4741;4,6800;1;001/C/NBP/2014;
20140103;3,0856;2,7488;2,9116;4,2082;1,4119;3,4220;5,0671;2,9413;0,1529;0,5642;0,5015;0,4742;4,7019;2;002/C/NBP/2014;
20140107;3,0921;2,7815;2,9113;4,2085;1,4099;3,4236;5,0760;2,9610;0,1528;0,5642;0,5045;0,4756;4,7370;3;003/C/NBP/2014;
20140108;3,0933;2,7596;2,8867;4,2137;1,4048;3,4069;5,0698;2,9563;0,1535;0,5648;0,5017;0,4750;4,7411;4;004/C/NBP/2014;
20140109;3,1007;2,7731;2,8702;4,2176;1,4055;3,4082;5,1004;2,9583;0,1535;0,5653;0,5009;0,4729;4,7540;5;005/C/NBP/2014;
20140110;3,1078;2,7631;2,8652;4,2175;1,4099;3,4151;5,1145;2,9616;0,1538;0,5653;0,5011;0,4725;4,7504;6;006/C/NBP/2014;
20140113;3,0760;2,7625;2,8180;4,2067;1,4104;3,4120;5,0756;2,9540;0,1536;0,5637;0,5001;0,4736;4,7451;7;007/C/NBP/2014;
20140114;3,0729;2,7874;2,8253;4,1954;1,4046;3,4062;5,0290;2,9767;0,1533;0,5623;0,5018;0,4724;4,7249;8;008/C/NBP/2014;
20140115;3,0664;2,7511;2,8059;4,1918;1,3998;3,3999;5,0370;2,9573;0,1529;0,5618;0,5025;0,4757;4,7162;9;009/C/NBP/2014;
20140116;3,0915;2,7561;2,8215;4,2005;1,3996;3,3983;5,0517;2,9597;0,1531;0,5629;0,5041;0,4774;4,7369;10;010/C/NBP/2014;
20140117;3,0903;2,7205;2,8310;4,2117;1,4020;3,4126;5,0561;2,9627;0,1533;0,5644;0,5012;0,4783;4,7474;11;011/C/NBP/2014;
20140120;3,0965;2,7212;2,8266;4,2048;1,3976;3,4125;5,0900;2,9692;0,1531;0,5635;0,5026;0,4786;4,7469;12;012/C/NBP/2014;
20140121;3,0975;2,7272;2,8283;4,2004;1,3920;3,4057;5,0905;2,9770;0,1525;0,5629;0,5012;0,4780;4,7418;13;013/C/NBP/2014;
20140122;3,1058;2,7365;2,8295;4,2036;1,3892;3,4040;5,1145;2,9739;0,1526;0,5634;0,5025;0,4779;4,7455;14;014/C/NBP/2014;
20140123;3,1036;2,7491;2,8281;4,2082;1,3926;3,4072;5,1401;2,9719;0,1529;0,5640;0,5038;0,4788;4,7551;15;015/C/NBP/2014;
20140124;3,0833;2,7123;2,7755;4,2132;1,3832;3,4208;5,1203;2,9770;0,1533;0,5647;0,5050;0,4801;4,7472;16;016/C/NBP/2014;
20140127;3,0993;2,6987;2,7975;4,2399;1,3870;3,4621;5,1123;3,0285;0,1542;0,5682;0,5044;0,4811;4,7800;17;017/C/NBP/2014;
20140128;3,1054;2,7172;2,8122;4,2459;1,3890;3,4640;5,1491;3,0250;0,1544;0,5690;0,5031;0,4826;4,7873;18;018/C/NBP/2014;
20140129;3,0989;2,7201;2,7757;4,2364;1,3916;3,4519;5,1416;3,0151;0,1540;0,5677;0,5044;0,4810;4,7744;19;019/C/NBP/2014;
20140130;3,1118;2,7255;2,7954;4,2521;1,3765;3,4765;5,1559;3,0461;0,1545;0,5698;0,5034;0,4825;4,8104;20;020/C/NBP/2014;
20140131;3,1425;2,7613;2,8133;4,2684;1,3749;3,4872;5,1883;3,0630;0,1548;0,5721;0,5043;0,4828;4,8307;21;021/C/NBP/2014;
20140203;3,1823;2,7721;2,8430;4,2918;1,3715;3,5111;5,2397;3,1112;0,1561;0,5751;0,5061;0,4869;4,8716;22;022/C/NBP/2014;
20140204;3,1671;2,7902;2,8663;4,2768;1,3689;3,5029;5,1828;3,1165;0,1552;0,5732;0,5063;0,4854;4,8523;23;023/C/NBP/2014;
20140205;3,1522;2,8080;2,8450;4,2590;1,3739;3,4837;5,1387;3,1086;0,1546;0,5707;0,5015;0,4828;4,8269;24;024/C/NBP/2014;
20140206;3,1338;2,7911;2,8211;4,2342;1,3743;3,4647;5,0999;3,0923;0,1536;0,5674;0,5003;0,4791;4,7900;25;025/C/NBP/2014;
20140207;3,1104;2,7879;2,8024;4,2326;1,3733;3,4610;5,0763;3,0571;0,1537;0,5672;0,5020;0,4793;4,8053;26;026/C/NBP/2014;
20140210;3,1069;2,7852;2,8240;4,2208;1,3707;3,4461;5,0914;3,0329;0,1533;0,5657;0,5020;0,4775;4,7691;27;027/C/NBP/2014;
20140211;3,0975;2,7671;2,8021;4,2223;1,3561;3,4502;5,0777;3,0312;0,1532;0,5658;0,5042;0,4773;4,7584;28;028/C/NBP/2014;
20140212;3,0914;2,7867;2,7950;4,2198;1,3563;3,4485;5,0840;3,0201;0,1534;0,5655;0,5046;0,4805;4,7475;29;029/C/NBP/2014;
20140213;3,0947;2,7999;2,8149;4,2011;1,3627;3,4276;5,1239;3,0190;0,1526;0,5631;0,5047;0,4790;4,7544;30;030/C/NBP/2014;
20140214;3,0770;2,7613;2,7966;4,2050;1,3491;3,4423;5,1163;3,0201;0,1528;0,5636;0,5040;0,4764;4,7588;31;031/C/NBP/2014;
20140217;3,0619;2,7640;2,7883;4,1906;1,3524;3,4295;5,1183;3,0063;0,1531;0,5616;0,5019;0,4740;4,7207;32;032/C/NBP/2014;
20140218;3,0543;2,7578;2,7859;4,1855;1,3567;3,4242;5,1043;2,9973;0,1527;0,5610;0,5025;0,4736;4,7151;33;033/C/NBP/2014;
20140219;3,0457;2,7517;2,7780;4,1900;1,3497;3,4301;5,0905;2,9754;0,1531;0,5616;0,5033;0,4700;4,7110;34;034/C/NBP/2014;
20140220;3,0633;2,7667;2,7786;4,2137;1,3457;3,4500;5,1094;2,9986;0,1538;0,5647;0,5065;0,4714;4,7377;35;035/C/NBP/2014;
20140221;3,0709;2,7538;2,7736;4,2142;1,3499;3,4533;5,1224;3,0072;0,1538;0,5647;0,5022;0,4697;4,7441;36;036/C/NBP/2014;
20140224;3,0510;2,7396;2,7418;4,1949;1,3536;3,4374;5,0965;2,9724;0,1532;0,5622;0,5025;0,4671;4,7224;37;037/C/NBP/2014;
20140225;3,0593;2,7509;2,7605;4,1952;1,3546;3,4348;5,0781;2,9822;0,1533;0,5622;0,5064;0,4695;4,7157;38;038/C/NBP/2014;
20140226;3,0479;2,7514;2,7510;4,1950;1,3566;3,4401;5,0973;2,9857;0,1534;0,5622;0,5061;0,4700;4,7123;39;039/C/NBP/2014;
20140227;3,0797;2,7615;2,7717;4,2111;1,3551;3,4527;5,1261;3,0134;0,1540;0,5643;0,5077;0,4719;4,7392;40;040/C/NBP/2014;
20140228;3,0819;2,7548;2,7653;4,2181;1,3537;3,4664;5,1393;3,0184;0,1542;0,5652;0,5083;0,4720;4,7609;41;041/C/NBP/2014;
20140303;3,0475;2,7209;2,7492;4,2035;1,3564;3,4558;5,0896;2,9813;0,1537;0,5633;0,5085;0,4746;4,7090;42;042/C/NBP/2014;
20140304;3,0729;2,7395;2,7690;4,2309;1,3530;3,4861;5,1362;3,0282;0,1546;0,5669;0,5085;0,4767;4,7546;43;043/C/NBP/2014;
20140305;3,0752;2,7513;2,7762;4,2309;1,3624;3,4749;5,1311;3,0149;0,1546;0,5669;0,5123;0,4776;4,7514;44;044/C/NBP/2014;
20140306;3,0727;2,7576;2,7751;4,2205;1,3628;3,4611;5,1376;3,0002;0,1543;0,5656;0,5127;0,4774;4,7397;45;045/C/NBP/2014;
20140307;3,0498;2,7669;2,7751;4,2229;1,3652;3,4580;5,0995;2,9590;0,1544;0,5659;0,5109;0,4763;4,7466;46;046/C/NBP/2014;
20140310;3,0571;2,7801;2,7587;4,2405;1,3605;3,4764;5,1174;2,9550;0,1550;0,5682;0,5120;0,4784;4,7360;47;047/C/NBP/2014;
20140311;3,0698;2,7678;2,7637;4,2573;1,3624;3,4954;5,1086;2,9745;0,1556;0,5704;0,5133;0,4799;4,7492;48;048/C/NBP/2014;
20140312;3,0722;2,7771;2,7726;4,2597;1,3631;3,4980;5,1085;2,9741;0,1557;0,5709;0,5167;0,4826;4,7589;49;049/C/NBP/2014;
20140313;3,0742;2,7569;2,7595;4,2693;1,3627;3,5112;5,1062;2,9914;0,1560;0,5721;0,5153;0,4817;4,7608;50;050/C/NBP/2014;
20140314;3,0654;2,7854;2,7710;4,2708;1,3671;3,5163;5,1138;2,9957;0,1561;0,5722;0,5173;0,4827;4,7595;51;051/C/NBP/2014;
